487.44	334.177	90	65.7	167
153.08	341.471	86	66.22	3.99996
161.156	341.053	77	64.68	6.00001
153.872	342.5	71	56.8	179
486.882	334.326	70	53.2	168
488.905	324.948	67	44.22	179
484.5	326.5	79	58.46	168
157.921	325.492	65	39.65	3.00002
158.161	331.222	65	41.6	180
153.395	334.229	77	61.6	178
482.429	323.18	60	41.4	170
153.802	341.848	67	50.25	8
486.337	340.732	73	59.13	179
154.02	345.023	82	59.86	10
152.514	330.624	62	42.16	8
152.392	314.144	69	42.09	175
480.29	337.5	78	59.28	162
484.888	340.071	88	54.56	167
153.455	322.581	68	51	175
154.511	324.793	76	49.4	175
490.393	328.644	82	54.94	164
311.995	160.684	25	20.5	177
